Governo Federal 2018, Poder Executivo por Órgão Superior e UO;;;;;;;;;;
;;;;;;;;;;
Filtro do relatório:;;;;;;;;;;
({Esfera Orçamentária} = 1:ORCAMENTO FISCAL, 2:ORCAMENTO DE SEGURIDADE SOCIAL) E ({Mês Lançamento} = 014/2018) E ({Item Informação} = DOTACAO INICIAL, DOTACAO ATUALIZADA, DESPESAS EMPENHADAS, DESPESAS LIQUIDADAS, DESPESAS INSCRITAS EM RP NAO PROCESSADOS, DESPESAS PAGAS) E ({UO - Poder} = 0:PODER EXECUTIVO);;;;;;;;;;
;;;;;;;;;;
Páginas:;;;;;;;;;;
Mês Lançamento: 014/2018;;;;;;;;;;
Métrica: Saldo - R$ (Item Informação);;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
UO - Órgão Superior;;Unidade Orçamentária;;Item Informação;9;13;23;25;27;28
 ;; ;; ;DOTACAO INICIAL;DOTACAO ATUALIZADA;DESPESAS EMPENHADAS;DESPESAS LIQUIDADAS;DESPESAS INSCRITAS EM RP NAO PROCESSADOS;DESPESAS PAGAS
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;24907;FUNDO P/O DESENV.TECNOL.DAS TELECOM.-FUNTTEL;;247.656.698,00;241.788.084,00;16.587.541,37;16.587.541,37;;16.587.541,37
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;74905;RECURSOS SOB SUPERVISAO DO FUNTTEL;;189.631.468,00;189.631.468,00;189.631.468,00;189.631.468,00;;189.631.468,00
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;74910;REC.S/SUP.DO FUNDO NAC.DES.CIENT.E TEC.-FNDCT;;1.141.369.944,00;1.141.369.944,00;1.097.968.250,00;1.097.968.250,00;;1.097.968.250,00
25000;MINISTERIO DA ECONOMIA;25101;MINISTERIO DA FAZENDA;;4.206.707.808,00;5.236.360.628,00;3.956.474.341,50;3.834.412.133,52;122.062.207,98;3.677.470.942,07
25000;MINISTERIO DA ECONOMIA;25103;RECEITA FEDERAL DO BRASIL;;18.680.208.589,00;18.519.249.820,00;17.824.278.521,54;17.031.418.690,58;792.859.830,96;16.065.130.464,70
25000;MINISTERIO DA ECONOMIA;25104;PROCURADORIA GERAL DA FAZENDA NACIONAL;;2.359.055.204,00;1.446.408.215,00;1.393.167.318,71;1.319.897.843,10;73.269.475,61;1.258.833.521,94
25000;MINISTERIO DA ECONOMIA;25201;BANCO CENTRAL DO BRASIL;;3.537.452.573,00;3.786.139.659,00;3.712.451.634,91;3.712.451.634,91;;3.490.321.996,18
25000;MINISTERIO DA ECONOMIA;25203;COMISSAO DE VALORES MOBILIARIOS;;477.178.642,00;476.811.901,00;257.736.393,99;243.249.804,08;14.486.589,91;229.690.299,88
25000;MINISTERIO DA ECONOMIA;25206;SUPERINT.NAC.DE PREVID.COMPLEMENTAR - PREVIC;;48.570.492,00;48.358.732,00;45.201.274,57;42.290.424,75;2.910.849,82;40.121.871,30
25000;MINISTERIO DA ECONOMIA;25208;SUPERINTENDENCIA DE SEGUROS PRIVADOS;;235.284.415,00;241.317.972,00;229.047.060,89;224.460.798,87;4.586.262,02;210.928.304,11
